epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.3457,0.52275,0.98333,1,0.03094,0.000472461,0.000472461,0.000472461
2,57.2386,0.17057,0.95,1,0.12873,0.000760933,0.000760933,0.000760933
3,77.9294,0.12038,1,1,0.00882,0.000860777,0.000860777,0.000860777
4,100.072,0.08674,1,1,0.00847,0.000580174,0.000580174,0.000580174
5,123.085,0.08171,1,1,0.01099,0.000297232,0.000297232,0.000297232
